ADMITTED_DT,CUSTODY_LEVEL,BRADH,RACE,INMATE_STATUS_CODE,SRG_FLG,TOP_CHARGE,INFRACTION,AGE_RANGE
March,MED,N_MENTAL_OBSV,BLACK,DE,N_GANG,220.39,N_INFRACTION,56-65
August,MED,N_MENTAL_OBSV,WHITE,DE,N_GANG,125.25,N_INFRACTION,46-55
May,MED,Y_MENTAL_OBSV,BLACK,DE,Y_GANG,265.03,Y_INFRACTION,26-35
February,MED,N_MENTAL_OBSV,WHITE,DE,N_GANG,160.15,N_INFRACTION,36-45
September,MAX,N_MENTAL_OBSV,BLACK,DE,N_GANG,110-125.25,Y_INFRACTION,26-35
January,MIN,N_MENTAL_OBSV,OTHER,CS,N_GANG,155.30,N_INFRACTION,18-25
July,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,110-125.25,Y_INFRACTION,46-55
September,MED,Y_MENTAL_OBSV,OTHER,DE,N_GANG,130.96,N_INFRACTION,26-35
August,MAX,Y_MENTAL_OBSV,OTHER,DE,Y_GANG,160.15,Y_INFRACTION,18-25
February,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,160.10,N_INFRACTION,36-45
April,MIN,Y_MENTAL_OBSV,BLACK,DE,N_GANG,120.10,N_INFRACTION,36-45
February,MIN,Y_MENTAL_OBSV,BLACK,DE,N_GANG,215.51,N_INFRACTION,56-65
March,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,140.25,N_INFRACTION,46-55
March,MAX,N_MENTAL_OBSV,BLACK,DE,Y_GANG,110-125.25,Y_INFRACTION,26-35
March,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,140.20,N_INFRACTION,36-45
February,MED,N_MENTAL_OBSV,OTHER,DE,N_GANG,160.05,N_INFRACTION,26-35
October,MAX,Y_MENTAL_OBSV,BLACK,DE,N_GANG,125.25,N_INFRACTION,26-35
September,MAX,Y_MENTAL_OBSV,ASIAN,DNS,N_GANG,205.15,N_INFRACTION,46-55
March,MAX,Y_MENTAL_OBSV,OTHER,DE,N_GANG,140.25,N_INFRACTION,36-45
December,MIN,N_MENTAL_OBSV,BLACK,DE,N_GANG,155.35,N_INFRACTION,56-65
June,MED,N_MENTAL_OBSV,BLACK,DE,Y_GANG,265.03,Y_INFRACTION,36-45
December,MAX,Y_MENTAL_OBSV,BLACK,DE,Y_GANG,155.30,Y_INFRACTION,36-45
July,MAX,Y_MENTAL_OBSV,OTHER,SSR,N_GANG,120.00,Y_INFRACTION,18-25
January,MIN,N_MENTAL_OBSV,BLACK,DE,N_GANG,120.05,N_INFRACTION,46-55
February,MIN,N_MENTAL_OBSV,OTHER,DE,N_GANG,160.05,N_INFRACTION,18-25
June,MAX,Y_MENTAL_OBSV,OTHER,DE,Y_GANG,110-125.25,Y_INFRACTION,18-25
February,MIN,Y_MENTAL_OBSV,OTHER,CS,N_GANG,,N_INFRACTION,36-45
April,MED,N_MENTAL_OBSV,BLACK,DE,N_GANG,160.15,N_INFRACTION,26-35
June,MAX,Y_MENTAL_OBSV,BLACK,DEP,Y_GANG,265.03,N_INFRACTION,26-35
December,MIN,Y_MENTAL_OBSV,BLACK,DE,N_GANG,160.10,Y_INFRACTION,36-45
March,MIN,N_MENTAL_OBSV,WHITE,DE,N_GANG,155.30,N_INFRACTION,36-45
December,MIN,Y_MENTAL_OBSV,OTHER,DE,N_GANG,120.00,N_INFRACTION,56-65
April,MAX,N_MENTAL_OBSV,BLACK,DE,Y_GANG,110-125.25,Y_INFRACTION,26-35
January,MIN,N_MENTAL_OBSV,BLACK,DE,N_GANG,220.16,N_INFRACTION,36-45
March,MED,Y_MENTAL_OBSV,ASIAN,DE,N_GANG,125.25,Y_INFRACTION,18-25
March,MAX,Y_MENTAL_OBSV,WHITE,DE,N_GANG,220.16,Y_INFRACTION,18-25
August,MED,Y_MENTAL_OBSV,OTHER,DE,N_GANG,220.21,Y_INFRACTION,26-35
December,MED,N_MENTAL_OBSV,OTHER,DE,N_GANG,125.25,N_INFRACTION,36-45
April,MIN,Y_MENTAL_OBSV,WHITE,CS,N_GANG,,N_INFRACTION,26-35
March,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,110-140.30,N_INFRACTION,26-35
October,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,120.05,N_INFRACTION,36-45
March,MED,Y_MENTAL_OBSV,WHITE,DE,N_GANG,110-130.35,N_INFRACTION,26-35
April,MIN,N_MENTAL_OBSV,ASIAN,DEP,N_GANG,VOP,N_INFRACTION,26-35
March,MAX,N_MENTAL_OBSV,BLACK,DE,N_GANG,110-125.25,N_INFRACTION,36-45
November,MED,N_MENTAL_OBSV,BLACK,SSR,N_GANG,,N_INFRACTION,46-55
April,MED,N_MENTAL_OBSV,OTHER,DE,N_GANG,160.15,N_INFRACTION,18-25
March,MED,Y_MENTAL_OBSV,AMERICAN INDIAN,SSR,N_GANG,120.05,N_INFRACTION,36-45
March,MED,Y_MENTAL_OBSV,OTHER,DE,N_GANG,140.25,Y_INFRACTION,26-35
March,MAX,Y_MENTAL_OBSV,BLACK,DE,Y_GANG,160.10,N_INFRACTION,26-35
September,MED,N_MENTAL_OBSV,BLACK,SSR,N_GANG,,N_INFRACTION,26-35
November,MED,Y_MENTAL_OBSV,OTHER,DE,Y_GANG,125.25,Y_INFRACTION,36-45
March,MIN,Y_MENTAL_OBSV,BLACK,DE,N_GANG,140.25,N_INFRACTION,46-55
January,MAX,Y_MENTAL_OBSV,BLACK,DE,N_GANG,160.15,Y_INFRACTION,18-25
January,MED,Y_MENTAL_OBSV,OTHER,DE,N_GANG,130.35,N_INFRACTION,26-35
April,MIN,Y_MENTAL_OBSV,WHITE,DE,Y_GANG,155.42,N_INFRACTION,36-45
April,MAX,Y_MENTAL_OBSV,BLACK,DE,Y_GANG,110-120.10,N_INFRACTION,26-35
November,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,125.25,N_INFRACTION,36-45
November,MIN,N_MENTAL_OBSV,BLACK,CS,N_GANG,155.25,N_INFRACTION,56-65
April,MAX,Y_MENTAL_OBSV,OTHER,DE,N_GANG,125.25,Y_INFRACTION,18-25
October,MIN,Y_MENTAL_OBSV,OTHER,CS,N_GANG,,Y_INFRACTION,36-45
March,MIN,Y_MENTAL_OBSV,BLACK,DE,N_GANG,220.16,N_INFRACTION,46-55
September,MAX,Y_MENTAL_OBSV,BLACK,DE,N_GANG,125.25,Y_INFRACTION,26-35
June,MED,N_MENTAL_OBSV,BLACK,DE,Y_GANG,125.25,Y_INFRACTION,46-55
December,MED,N_MENTAL_OBSV,BLACK,DE,Y_GANG,105.15,N_INFRACTION,18-25
October,MAX,Y_MENTAL_OBSV,BLACK,DE,Y_GANG,120.55,Y_INFRACTION,36-45
April,MAX,Y_MENTAL_OBSV,BLACK,DE,Y_GANG,125.25,Y_INFRACTION,26-35
April,MED,N_MENTAL_OBSV,OTHER,DE,N_GANG,215.51,N_INFRACTION,36-45
January,MED,Y_MENTAL_OBSV,OTHER,SSR,N_GANG,,N_INFRACTION,26-35
October,MAX,N_MENTAL_OBSV,BLACK,CS,Y_GANG,AC 000.00,Y_INFRACTION,18-25
April,MED,N_MENTAL_OBSV,BLACK,DE,Y_GANG,130.25,N_INFRACTION,26-35
December,MIN,Y_MENTAL_OBSV,BLACK,DE,N_GANG,140.30,N_INFRACTION,56-65
December,MIN,N_MENTAL_OBSV,OTHER,DE,N_GANG,265.03,N_INFRACTION,26-35
October,MED,Y_MENTAL_OBSV,BLACK,DE,N_GANG,125.20,Y_INFRACTION,26-35
February,MAX,Y_MENTAL_OBSV,BLACK,DE,N_GANG,120.14,Y_INFRACTION,26-35
March,MAX,Y_MENTAL_OBSV,WHITE,DE,N_GANG,110-135.20,N_INFRACTION,36-45
