ADMITTED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,INMATE_STATUS_CODE,SRG_FLG,TOP_CHARGE,INFRACTION,AGE_RANGE
03/13/2025 12:43:35 AM,MED,N_BRADH,B,M,DE,N_SRG_FLG,220.39,N_INFRACTION,56-65
08/06/2021 10:20:24 PM,MED,N_BRADH,W,M,DE,N_SRG_FLG,125.25,N_INFRACTION,46-55
05/17/2024 08:34:03 PM,MED,Y_BRADH,B,M,DE,Y_SRG_FLG,265.03,Y_INFRACTION,26-35
02/22/2025 11:23:05 AM,MED,N_BRADH,W,M,DE,N_SRG_FLG,160.15,N_INFRACTION,36-45
09/11/2023 11:41:26 AM,MAX,N_BRADH,B,M,DE,N_SRG_FLG,110-125.25,Y_INFRACTION,26-35
01/10/2025 08:45:39 AM,MIN,N_BRADH,O,M,CS,N_SRG_FLG,155.30,N_INFRACTION,18-25
07/06/2024 01:11:09 AM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,110-125.25,Y_INFRACTION,46-55
09/12/2024 11:56:20 AM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,130.96,N_INFRACTION,26-35
08/13/2024 04:03:45 PM,MAX,Y_BRADH,O,M,DE,Y_SRG_FLG,160.15,Y_INFRACTION,18-25
02/02/2024 04:08:59 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,160.10,N_INFRACTION,36-45
04/03/2023 01:57:56 PM,MIN,Y_BRADH,B,F,DE,N_SRG_FLG,120.10,N_INFRACTION,36-45
02/14/2025 09:22:41 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,215.51,N_INFRACTION,56-65
03/30/2025 12:25:00 AM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,140.25,N_INFRACTION,46-55
03/06/2024 03:56:49 PM,MAX,N_BRADH,B,M,DE,Y_SRG_FLG,110-125.25,Y_INFRACTION,26-35
03/23/2025 05:31:31 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,140.20,N_INFRACTION,36-45
10/28/2024 03:45:55 PM,MAX,Y_BRADH,B,F,DE,N_SRG_FLG,125.25,N_INFRACTION,26-35
03/31/2025 12:47:19 AM,MAX,Y_BRADH,O,M,DE,N_SRG_FLG,140.25,N_INFRACTION,36-45
12/03/2024 05:42:39 PM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,155.35,N_INFRACTION,56-65
06/21/2024 07:39:56 PM,MED,N_BRADH,B,M,DE,Y_SRG_FLG,265.03,Y_INFRACTION,36-45
12/07/2024 01:21:00 AM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,155.30,Y_INFRACTION,36-45
07/03/2024 12:22:42 PM,MAX,Y_BRADH,O,M,SSR,N_SRG_FLG,120.00,Y_INFRACTION,18-25
01/01/2025 03:45:20 PM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,120.05,N_INFRACTION,46-55
02/12/2025 07:34:34 PM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,160.05,N_INFRACTION,18-25
06/12/2024 04:58:00 PM,MAX,Y_BRADH,O,M,DE,Y_SRG_FLG,110-125.25,Y_INFRACTION,18-25
02/10/2025 03:53:23 PM,MIN,Y_BRADH,O,M,CS,N_SRG_FLG,,N_INFRACTION,36-45
04/11/2025 12:12:08 AM,MED,N_BRADH,B,M,DE,N_SRG_FLG,160.15,N_INFRACTION,26-35
06/11/2024 03:36:36 PM,MAX,Y_BRADH,B,M,DEP,Y_SRG_FLG,265.03,N_INFRACTION,26-35
12/05/2024 12:30:34 AM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,160.10,Y_INFRACTION,36-45
03/20/2025 07:52:00 PM,MIN,N_BRADH,W,M,DE,N_SRG_FLG,155.30,N_INFRACTION,36-45
04/15/2025 12:58:01 PM,MED,N_BRADH,B,M,DE,Y_SRG_FLG,,N_INFRACTION,26-35
12/13/2024 11:30:52 PM,MIN,Y_BRADH,O,M,DE,N_SRG_FLG,120.00,N_INFRACTION,56-65
04/18/2023 12:20:25 PM,MAX,N_BRADH,B,M,DE,Y_SRG_FLG,110-125.25,Y_INFRACTION,26-35
01/17/2025 03:45:00 PM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,220.16,N_INFRACTION,36-45
03/17/2023 12:00:27 AM,MED,Y_BRADH,A,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,18-25
03/13/2024 10:39:32 AM,MAX,Y_BRADH,W,M,DE,N_SRG_FLG,220.16,Y_INFRACTION,18-25
08/11/2023 03:29:20 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,220.21,Y_INFRACTION,26-35
12/04/2024 06:11:32 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,125.25,N_INFRACTION,36-45
04/07/2025 03:20:11 PM,MIN,Y_BRADH,W,M,CS,N_SRG_FLG,,N_INFRACTION,26-35
03/29/2025 01:29:41 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,110-140.30,N_INFRACTION,26-35
10/10/2024 02:46:48 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,120.05,N_INFRACTION,36-45
03/06/2025 11:12:01 AM,MED,Y_BRADH,W,M,DE,N_SRG_FLG,110-130.35,N_INFRACTION,26-35
04/16/2025 10:08:37 AM,MIN,N_BRADH,A,M,DEP,N_SRG_FLG,VOP,N_INFRACTION,26-35
03/04/2025 12:20:56 PM,MAX,N_BRADH,B,M,DE,N_SRG_FLG,110-125.25,N_INFRACTION,36-45
11/12/2024 05:16:35 PM,MED,N_BRADH,B,M,SSR,N_SRG_FLG,,N_INFRACTION,46-55
02/05/2025 12:07:37 AM,MIN,Y_BRADH,B,M,CS,N_SRG_FLG,215.50,N_INFRACTION,36-45
04/11/2025 09:11:49 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,160.15,N_INFRACTION,18-25
03/26/2024 02:43:49 PM,MED,Y_BRADH,I,M,SSR,N_SRG_FLG,120.05,N_INFRACTION,36-45
03/07/2024 11:18:00 AM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,140.25,Y_INFRACTION,26-35
03/28/2025 04:16:00 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,160.10,N_INFRACTION,26-35
09/01/2023 12:00:49 PM,MED,N_BRADH,B,M,SSR,N_SRG_FLG,,N_INFRACTION,26-35
11/16/2022 01:14:48 PM,MED,Y_BRADH,O,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,36-45
03/12/2025 01:17:35 AM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,140.25,N_INFRACTION,46-55
01/24/2025 11:57:26 AM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,160.15,Y_INFRACTION,18-25
01/19/2025 04:49:00 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,130.35,N_INFRACTION,26-35
04/07/2025 05:19:00 PM,MIN,Y_BRADH,W,M,DE,Y_SRG_FLG,155.42,N_INFRACTION,36-45
04/06/2025 02:07:03 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,110-120.10,N_INFRACTION,26-35
11/04/2023 12:59:29 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,125.25,N_INFRACTION,36-45
11/29/2024 10:56:06 AM,MIN,N_BRADH,B,M,CS,N_SRG_FLG,155.25,N_INFRACTION,56-65
04/18/2024 03:07:15 PM,MAX,Y_BRADH,O,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,18-25
10/24/2024 08:47:49 PM,MIN,Y_BRADH,O,M,CS,N_SRG_FLG,,Y_INFRACTION,36-45
03/14/2025 01:16:00 AM,MIN,Y_BRADH,B,F,DE,N_SRG_FLG,220.16,N_INFRACTION,46-55
09/26/2022 02:41:12 PM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,26-35
06/15/2020 06:27:47 PM,MED,N_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,46-55
12/03/2024 03:01:37 PM,MED,N_BRADH,B,M,DE,Y_SRG_FLG,105.15,N_INFRACTION,18-25
12/06/2024 10:47:00 AM,MED,Y_BRADH,W,F,DE,N_SRG_FLG,265.03,N_INFRACTION,26-35
10/16/2024 07:33:00 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,120.55,Y_INFRACTION,36-45
04/09/2024 04:15:47 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,26-35
04/12/2025 12:57:37 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,215.51,N_INFRACTION,36-45
01/16/2025 07:32:46 PM,MED,Y_BRADH,O,M,SSR,N_SRG_FLG,,N_INFRACTION,26-35
10/04/2024 01:36:50 PM,MAX,N_BRADH,B,M,CS,Y_SRG_FLG,AC 000.00,Y_INFRACTION,18-25
03/28/2025 10:55:15 AM,MAX,N_BRADH,O,M,DE,N_SRG_FLG,265.03,N_INFRACTION,26-35
12/19/2023 06:38:00 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,140.30,N_INFRACTION,56-65
12/22/2023 09:01:01 PM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,265.03,N_INFRACTION,26-35
10/03/2024 08:38:00 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,125.20,Y_INFRACTION,26-35
02/12/2025 12:11:29 PM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,120.14,Y_INFRACTION,26-35
03/09/2025 10:50:53 PM,MAX,Y_BRADH,W,F,DE,N_SRG_FLG,110-135.20,N_INFRACTION,36-45
03/08/2024 04:43:36 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,265.03,N_INFRACTION,36-45
11/02/2023 01:46:30 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,125.25,N_INFRACTION,46-55
01/03/2025 04:30:18 PM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,130.25,N_INFRACTION,26-35
04/05/2020 02:11:00 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,26-35
02/05/2025 01:10:06 PM,MIN,N_BRADH,O,M,SSR,N_SRG_FLG,220.39,N_INFRACTION,26-35
01/14/2025 01:40:46 AM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,110-120.10,N_INFRACTION,26-35
10/18/2024 12:03:07 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,120.05,Y_INFRACTION,36-45
07/15/2024 12:37:49 AM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,110-125.25,Y_INFRACTION,18-25
03/19/2025 01:06:13 AM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,265.03,N_INFRACTION,36-45
08/01/2024 04:23:54 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,120.10,N_INFRACTION,46-55
11/25/2024 01:23:32 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,26-35
08/07/2023 03:34:41 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,125.27,Y_INFRACTION,36-45
12/07/2023 08:29:29 PM,MED,Y_BRADH,W,M,DE,N_SRG_FLG,125.25,N_INFRACTION,18-25
12/13/2024 12:58:28 AM,MED,N_BRADH,B,M,DE,N_SRG_FLG,265.03,N_INFRACTION,26-35
09/06/2024 11:51:15 AM,MED,Y_BRADH,B,M,DE,Y_SRG_FLG,160.10,N_INFRACTION,26-35
05/27/2023 12:40:08 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,220.16,N_INFRACTION,46-55
04/08/2025 12:34:40 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,120.05,N_INFRACTION,18-25
08/20/2021 09:38:31 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,18-25
04/20/2024 11:38:33 AM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,160.15,N_INFRACTION,26-35
07/10/2024 08:01:00 PM,MED,N_BRADH,O,M,SSR,N_SRG_FLG,,Y_INFRACTION,18-25
04/22/2025 12:48:00 AM,MIN,N_BRADH,B,F,DE,N_SRG_FLG,120.00,N_INFRACTION,26-35
06/23/2022 03:12:15 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,18-25
06/05/2024 12:25:00 AM,MED,N_BRADH,B,M,SSR,N_SRG_FLG,,N_INFRACTION,26-35
11/13/2024 03:20:03 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,110-120.10,N_INFRACTION,36-45
09/13/2024 12:09:21 AM,MED,Y_BRADH,B,M,CS,Y_SRG_FLG,160.05,N_INFRACTION,18-25
04/21/2025 07:49:01 PM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,165.45,N_INFRACTION,36-45
05/06/2024 04:25:14 PM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,120.05,N_INFRACTION,18-25
11/19/2024 10:29:00 AM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,120.05,Y_INFRACTION,26-35
07/15/2024 02:47:20 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,125.25,N_INFRACTION,66-75
11/30/2024 08:15:07 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,140.25,Y_INFRACTION,36-45
04/04/2025 09:06:47 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,220.21,N_INFRACTION,56-65
06/29/2023 02:36:16 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,125.27,N_INFRACTION,18-25
03/04/2023 10:43:08 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,18-25
02/05/2025 11:34:55 AM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,220.39,N_INFRACTION,36-45
07/14/2022 10:32:25 AM,MED,Y_BRADH,B,M,SSR,N_SRG_FLG,,N_INFRACTION,56-65
10/02/2024 10:43:33 AM,MAX,Y_BRADH,W,M,DE,N_SRG_FLG,160.15,Y_INFRACTION,18-25
11/10/2024 03:25:06 PM,MED,N_BRADH,O,M,CS,N_SRG_FLG,215.50,Y_INFRACTION,26-35
01/18/2023 04:12:49 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,46-55
09/06/2023 08:53:41 PM,MED,Y_BRADH,B,M,DE,Y_SRG_FLG,110-125.25,Y_INFRACTION,18-25
04/28/2022 05:16:39 PM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,26-35
12/18/2024 04:22:20 PM,MIN,N_BRADH,O,M,CS,N_SRG_FLG,121.12,N_INFRACTION,26-35
10/30/2024 02:25:29 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,160.15,Y_INFRACTION,26-35
03/08/2025 02:12:26 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,165.50,N_INFRACTION,18-25
10/18/2024 12:55:00 PM,MIN,Y_BRADH,B,M,CS,N_SRG_FLG,110-160.15,Y_INFRACTION,18-25
08/13/2021 12:55:06 PM,MAX,N_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,26-35
03/11/2025 06:50:52 PM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,220.03,N_INFRACTION,46-55
04/02/2025 11:45:26 AM,MED,N_BRADH,B,M,DE,N_SRG_FLG,130.30,N_INFRACTION,46-55
11/30/2024 07:55:51 PM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,120.05,N_INFRACTION,46-55
01/16/2025 01:25:30 AM,MAX,Y_BRADH,O,M,DE,N_SRG_FLG,215.51,Y_INFRACTION,18-25
03/27/2025 02:05:57 PM,MAX,Y_BRADH,B,M,DE,N_SRG_FLG,165.50,N_INFRACTION,18-25
01/30/2025 09:47:16 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,140.25,Y_INFRACTION,26-35
09/28/2022 11:51:46 AM,MAX,Y_BRADH,O,M,SSR,Y_SRG_FLG,,Y_INFRACTION,18-25
03/31/2025 12:40:00 PM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,FOA 900.00,N_INFRACTION,66-75
03/06/2025 12:45:35 AM,MIN,N_BRADH,O,M,DE,N_SRG_FLG,160.15,Y_INFRACTION,46-55
04/10/2025 08:05:00 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,125.25,N_INFRACTION,36-45
04/26/2024 07:55:58 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,110-125.25,N_INFRACTION,46-55
03/18/2025 12:45:56 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,130.75,N_INFRACTION,46-55
08/31/2024 04:30:03 PM,MIN,Y_BRADH,B,M,CS,N_SRG_FLG,265.01B,N_INFRACTION,36-45
03/25/2025 12:28:30 AM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,140.20,N_INFRACTION,66-75
02/13/2024 12:59:28 PM,MED,Y_BRADH,B,M,DE,Y_SRG_FLG,110-130.35,Y_INFRACTION,36-45
01/18/2025 12:51:45 AM,MIN,N_BRADH,A,M,DE,N_SRG_FLG,FOA 900.00,N_INFRACTION,46-55
09/26/2024 01:52:00 PM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,140.25,N_INFRACTION,36-45
01/04/2025 07:21:32 PM,MAX,N_BRADH,O,M,DEP,N_SRG_FLG,265.03,N_INFRACTION,18-25
08/14/2024 12:39:00 PM,MAX,Y_BRADH,B,M,SSR,Y_SRG_FLG,,Y_INFRACTION,18-25
11/19/2024 07:49:21 PM,MED,N_BRADH,W,M,DE,N_SRG_FLG,110-140.25,Y_INFRACTION,36-45
03/01/2025 01:23:39 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,125.25,N_INFRACTION,36-45
10/07/2024 05:46:26 PM,MIN,Y_BRADH,O,M,CS,N_SRG_FLG,,N_INFRACTION,36-45
09/25/2024 04:44:35 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,155.30,Y_INFRACTION,56-65
10/30/2024 04:55:30 PM,MIN,Y_BRADH,O,M,DEP,N_SRG_FLG,140.20,N_INFRACTION,66-75
06/13/2024 05:16:01 PM,MED,N_BRADH,B,M,CS,Y_SRG_FLG,205.25,Y_INFRACTION,36-45
08/29/2023 07:54:35 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,125.25,N_INFRACTION,46-55
02/02/2025 05:54:50 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,140.20,N_INFRACTION,36-45
09/25/2024 01:11:54 AM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,110-125.27,N_INFRACTION,26-35
04/05/2025 08:42:49 PM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,155.30,N_INFRACTION,36-45
03/16/2024 01:09:48 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,160.10,Y_INFRACTION,26-35
04/03/2025 01:10:28 PM,MIN,Y_BRADH,W,M,DE,N_SRG_FLG,240.31,N_INFRACTION,36-45
11/28/2024 05:21:16 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,140.20,Y_INFRACTION,18-25
07/09/2024 01:39:41 PM,MED,N_BRADH,B,M,DE,Y_SRG_FLG,125.25,Y_INFRACTION,18-25
08/30/2024 01:10:21 PM,MAX,N_BRADH,B,M,DE,N_SRG_FLG,125.25,Y_INFRACTION,26-35
11/18/2024 04:50:12 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,125.25,N_INFRACTION,56-65
08/03/2024 12:20:18 AM,MIN,Y_BRADH,O,M,DE,N_SRG_FLG,220.21,N_INFRACTION,66-75
04/09/2025 07:02:39 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,155.40,N_INFRACTION,26-35
02/25/2025 01:10:00 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,110-160.15,N_INFRACTION,26-35
11/15/2024 10:24:00 PM,MAX,Y_BRADH,O,F,DE,N_SRG_FLG,110-120.10,Y_INFRACTION,36-45
12/16/2024 06:19:25 PM,MED,Y_BRADH,A,M,DE,N_SRG_FLG,160.15,N_INFRACTION,26-35
11/28/2023 12:50:06 PM,MED,N_BRADH,O,M,DE,N_SRG_FLG,125.25,N_INFRACTION,36-45
02/28/2025 10:16:00 AM,MIN,N_BRADH,W,M,SSR,N_SRG_FLG,,N_INFRACTION,36-45
09/15/2024 03:48:43 PM,MED,Y_BRADH,O,M,CS,N_SRG_FLG,,Y_INFRACTION,26-35
01/25/2025 12:33:00 AM,MED,N_BRADH,O,M,DE,N_SRG_FLG,110-160.15,N_INFRACTION,36-45
11/03/2023 12:26:56 AM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,110-125.25,Y_INFRACTION,26-35
12/18/2024 02:31:04 PM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,220.77,N_INFRACTION,46-55
10/24/2024 05:19:31 PM,MIN,Y_BRADH,O,M,DE,N_SRG_FLG,110-125.25,N_INFRACTION,36-45
11/11/2024 05:05:29 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,125.25,N_INFRACTION,26-35
04/07/2025 12:07:00 PM,MED,Y_BRADH,O,M,DEP,N_SRG_FLG,240.20,N_INFRACTION,26-35
10/29/2024 01:02:00 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,110-125.25,N_INFRACTION,36-45
03/19/2025 12:09:24 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,110-160.05,N_INFRACTION,26-35
03/13/2025 12:16:30 AM,MED,Y_BRADH,B,M,DE,N_SRG_FLG,110-130.35,N_INFRACTION,36-45
09/01/2024 03:08:12 AM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,120.10,N_INFRACTION,46-55
12/14/2023 12:03:19 AM,MAX,N_BRADH,B,M,DE,Y_SRG_FLG,110-125.25,Y_INFRACTION,26-35
02/25/2025 01:25:56 PM,MAX,N_BRADH,O,M,DEP,N_SRG_FLG,VOP,N_INFRACTION,36-45
03/09/2025 04:53:28 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,FOA 900.00,N_INFRACTION,36-45
04/22/2025 12:49:12 AM,MED,N_BRADH,W,M,DE,N_SRG_FLG,155.25,N_INFRACTION,26-35
03/14/2025 05:31:54 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,265.03,N_INFRACTION,56-65
10/04/2024 11:59:00 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,265.03,Y_INFRACTION,26-35
11/16/2023 04:35:24 PM,MIN,Y_BRADH,B,M,DE,N_SRG_FLG,110-125.25,N_INFRACTION,56-65
01/06/2025 12:55:00 AM,MAX,Y_BRADH,B,M,DEP,Y_SRG_FLG,130.65,N_INFRACTION,36-45
04/07/2025 12:21:19 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,110-160.15,N_INFRACTION,18-25
04/20/2024 03:23:06 PM,MED,N_BRADH,B,M,DE,N_SRG_FLG,120.05,N_INFRACTION,26-35
04/12/2024 04:46:42 PM,MED,Y_BRADH,O,M,DE,N_SRG_FLG,110-125.25,Y_INFRACTION,26-35
12/11/2023 12:54:35 PM,MAX,Y_BRADH,B,M,DE,Y_SRG_FLG,160.15,Y_INFRACTION,18-25
12/13/2024 11:36:00 AM,MIN,N_BRADH,B,M,DE,N_SRG_FLG,110-125.25,N_INFRACTION,36-45
02/13/2025 05:40:01 PM,MIN,N_BRADH,B,M,SSR,N_SRG_FLG,110-265.03,N_INFRACTION,36-45
03/16/2025 01:24:14 PM,MIN,Y_BRADH,B,F,DE,N_SRG_FLG,110-140.25,N_INFRACTION,46-55
