==Frequent itemsets (min_sup=1.0%)
[DE], 80.1228%
[N_GANG], 79.2087%
[N_INFRACTION], 65.1569%
[DE,N_GANG], 63.6971%
[N_GANG,N_INFRACTION], 57.6126%
[BLACK], 57.5716%
[Y_MENTAL_OBSV], 56.4939%
[DE,N_INFRACTION], 51.3643%
[DE,Y_MENTAL_OBSV], 46.6576%
[BLACK,DE], 45.9209%
[DE,N_GANG,N_INFRACTION], 45.6071%
[N_GANG,Y_MENTAL_OBSV], 44.8295%
[N_MENTAL_OBSV], 43.5061%
[MED], 42.633%
[BLACK,N_GANG], 41.3233%
[DE,N_GANG,Y_MENTAL_OBSV], 37.2715%
[MED,N_GANG], 35.9891%
[BLACK,N_INFRACTION], 35.075%
[Y_INFRACTION], 34.8431%
[DE,MED], 34.7476%
[N_GANG,N_MENTAL_OBSV], 34.3793%
[BLACK,Y_MENTAL_OBSV], 33.7653%
[DE,N_MENTAL_OBSV], 33.4652%
[BLACK,DE,N_GANG], 33.0696%
[26-35], 33.0286%
[N_INFRACTION,Y_MENTAL_OBSV], 32.824%
[N_INFRACTION,N_MENTAL_OBSV], 32.3329%
[OTHER], 31.0641%
[MIN], 30.5184%
[DE,MED,N_GANG], 29.6589%
[N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 29.6044%
[MED,N_INFRACTION], 29.3315%
[MIN,N_GANG], 29.3179%
[BLACK,N_GANG,N_INFRACTION], 29.1814%
[DE,Y_INFRACTION], 28.7585%
[N_GANG,N_INFRACTION,N_MENTAL_OBSV], 28.0082%
[BLACK,DE,Y_MENTAL_OBSV], 27.8854%
[BLACK,DE,N_INFRACTION], 27.5171%
[N_GANG,OTHER], 27.2578%
[MIN,N_INFRACTION], 26.8486%
[DE,N_INFRACTION,Y_MENTAL_OBSV], 26.794%
[26-35,DE], 26.7531%
[DE,N_GANG,N_MENTAL_OBSV], 26.4256%
[36-45], 25.9891%
[MIN,N_GANG,N_INFRACTION], 25.8799%
[MED,N_GANG,N_INFRACTION], 25.839%
[MAX], 25.5389%
[DE,OTHER], 25.1842%
[26-35,N_GANG], 24.8431%
[BLACK,N_GANG,Y_MENTAL_OBSV], 24.8431%
[BLACK,MED], 24.7203%
[DE,N_INFRACTION,N_MENTAL_OBSV], 24.5703%
[DE,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 24.2974%
[MED,Y_MENTAL_OBSV], 23.9563%
[BLACK,N_MENTAL_OBSV], 23.8063%
[DE,MED,N_INFRACTION], 23.8063%
[Y_INFRACTION,Y_MENTAL_OBSV], 23.6698%
[DE,MIN], 23.1924%
[BLACK,DE,N_GANG,N_INFRACTION], 23.0014%
[36-45,N_GANG], 22.8786%
[BLACK,Y_INFRACTION], 22.4966%
[DE,MIN,N_GANG], 22.2783%
[DE,N_GANG,OTHER], 22.1828%
[N_GANG,Y_INFRACTION], 21.5962%
[DE,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 21.3097%
[N_INFRACTION,OTHER], 21.2005%
[DE,MED,N_GANG,N_INFRACTION], 21.1869%
[DE,MAX], 20.9823%
[Y_GANG], 20.7913%
[36-45,DE], 20.6958%
[BLACK,DE,N_GANG,Y_MENTAL_OBSV], 20.6685%
[MED,N_GANG,Y_MENTAL_OBSV], 20.6412%
[26-35,DE,N_GANG], 20.4911%
[DE,MIN,N_INFRACTION], 20.1774%
[26-35,N_INFRACTION], 20.1501%
[DE,MED,Y_MENTAL_OBSV], 20.0%
[N_GANG,N_INFRACTION,OTHER], 19.9454%
[DE,Y_INFRACTION,Y_MENTAL_OBSV], 19.8636%
[BLACK,DE,MED], 19.8226%
[18-25], 19.4952%
[DE,MIN,N_GANG,N_INFRACTION], 19.4134%
[BLACK,MED,N_GANG], 19.3724%
[26-35,Y_MENTAL_OBSV], 19.1542%
[MED,N_MENTAL_OBSV], 18.6767%
[26-35,BLACK], 18.6767%
[36-45,N_INFRACTION], 18.6085%
[BLACK,N_INFRACTION,Y_MENTAL_OBSV], 18.4447%
[BLACK,DE,Y_INFRACTION], 18.4038%
[36-45,DE,N_GANG], 18.322%
